"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AreaShape_Area",1,5123,11744.0566074566,7898.73656922427,10332,10767.844352281,7457.478,1967,47438,45471,1.21667231960315,1.80859003963694,110.355873319493
"AreaShape_Compactness",2,5123,1.46981443679292,0.931266082950556,1.26839293517816,1.32832656943401,0.240675392972415,1.00248871609052,27.7969464992728,26.7944577831823,15.7656886224939,379.529803003454,0.0130110278999879
"AreaShape_Eccentricity",3,5123,0.796432992678096,0.141816302650848,0.833609240674999,0.815759189558245,0.114666537213185,0.119435974966701,0.998668728734253,0.879232753767552,-1.32052033723113,1.83196233105263,0.00198136268918673
"AreaShape_EulerNumber",4,5123,1,0,1,1,0,1,1,0,NA,NA,0
"AreaShape_Extent",5,5123,0.578451708188081,0.12304253383312,0.604147049591965,0.589443305218113,0.117580771640113,0.0292970135489821,0.838662075750123,0.809365062201141,-0.829222737991125,0.479195580587713,0.0017190681266043
"AreaShape_FormFactor",6,5123,0.507768067949039,0.197591412714242,0.532833644157153,0.515514293983817,0.229510970821496,0.034011011155038,0.86824573642094,0.834234725265902,-0.301164411591887,-0.895436981147719,0.00276061528567397
"AreaShape_MajorAxisLength",7,5123,167.840602880746,64.2400071198606,164.632517152997,163.669275866303,58.9637783465214,53.7556686630861,547.355805846827,493.600137183741,1.017981603324,2.71883572327861,0.897518486106301
"AreaShape_MaxFeretDiameter",8,5123,175.905513184554,64.8949094283001,173.666346768739,172.17590930235,62.9971615311972,55.7135531087365,518.098446243569,462.384893134832,0.800440908226385,1.66349293484194,0.906668343878287
"AreaShape_MaximumRadius",9,5123,40.9890688700716,16.6573783974703,40,40.1154622565976,18.274382020251,5,107.415082739809,102.415082739809,0.435902760851164,-0.249278126770903,0.232725768755017
"AreaShape_MeanRadius",10,5123,14.710327511957,6.01846668235018,14.4739894068074,14.4493919027288,6.77609529309754,2.04147559294259,37.788232580841,35.7467569878984,0.347905372377679,-0.405752925950702,0.0840859979256469
"AreaShape_MedianRadius",11,5123,13.0735232572068,5.42111146015521,13,12.8558436596831,6.01302246623525,2,33.2866339541865,31.2866339541865,0.314252319766386,-0.471195995328211,0.0757401496181929
"AreaShape_MinFeretDiameter",12,5123,96.2223829172867,36.8774516032729,92,93.1687773285685,35.0856869903584,22.6226721483758,303.898608204442,281.275936056066,0.823504400136941,0.835086806992013,0.515227130543003
"AreaShape_MinorAxisLength",13,5123,89.540050712208,34.836504154198,85.1343767842864,86.7281955567007,33.6526972377735,14.8858623786817,298.268119219227,283.382256840546,0.802780332198589,0.80141723668246,0.486712375535295
"AreaShape_Orientation",14,5123,-1.54414102959978,52.0160363613465,-1.92993324531338,-1.8383341655034,65.9249241521243,-89.9870681816472,89.9939170723383,179.980985253986,0.0358626912982367,-1.18973278927609,0.726733328674439
"AreaShape_Perimeter",15,5123,547.84282998243,252.326983935748,500.685999999999,514.684512320076,168.165387599999,178.668,2976.51000000006,2797.84200000006,2.59086762291922,12.9355229818113,3.5253441395676
"AreaShape_Solidity",16,5123,0.86372008074178,0.118853342188737,0.903820311000192,0.882418957064789,0.0925272888025966,0.139500734214391,0.988968270645093,0.849467536430703,-1.41773576541473,2.04870985852444,0.00166053953809308
"AreaShape_Zernike_0_0",17,5123,0.462039744685428,0.147764368841248,0.456606243756719,0.459821105204931,0.146198887787282,0.0161638968093391,0.922532185208788,0.906368288399449,0.124913697330444,-0.190229176478444,0.00206446509844561
"AreaShape_Zernike_1_1",18,5123,0.0433109305500039,0.0282216462097273,0.0370381035882803,0.0402503517062689,0.026589746616306,0.000363740455425669,0.165416813462814,0.165053073007389,0.963822846588843,0.610290688186104,0.000394293997108713
"AreaShape_Zernike_2_0",19,5123,0.16076795868553,0.0400325057232379,0.171643099315541,0.166123985852057,0.0331859916601795,0.000367548506153814,0.228448576608757,0.228081028102603,-1.1908424576535,1.09773876466985,0.000559307440061819
"AreaShape_Zernike_2_2",20,5123,0.0616697124561465,0.0186553186998114,0.0647213163444638,0.0629515289783666,0.017096481298961,0.00312925814827313,0.120803189186361,0.117673931038087,-0.591024612111348,0.200986567999163,0.000260639656624646
"AreaShape_Zernike_3_1",21,5123,0.0260691859748217,0.0179278858636787,0.0218018912383154,0.0241940323293257,0.0174360073780378,7.7545512683947e-05,0.088751751375044,0.0886742058623601,0.829503993141492,-0.0192302482180717,0.000250476450748724
"AreaShape_Zernike_3_3",22,5123,0.0142729525565826,0.0106535489431356,0.0116681446213701,0.0127277155955778,0.00847642189624607,0.0001079988808277,0.077790416764663,0.0776824178838353,1.64110928924837,3.6421219514062,0.000148844272405853
"AreaShape_Zernike_4_0",23,5123,0.0279016197405788,0.01800304713469,0.0264769831390084,0.0270396424711989,0.0216626721659331,1.42863558325612e-05,0.0853385103807096,0.085324224024877,0.359300881748579,-0.740308844020111,0.000251526553841739
"AreaShape_Zernike_4_2",24,5123,0.0330985040466105,0.0147820496907759,0.0342695942328496,0.0335128478422258,0.0171528116604699,0.000438541173690928,0.0740986571599109,0.0736601159862199,-0.210545762765581,-0.829866200581653,0.000206524928231392
"AreaShape_Zernike_4_4",25,5123,0.0246786023390632,0.00794863128091205,0.0261809894784622,0.0252597975308918,0.00779352631861079,0.000684047988981016,0.0483489501501195,0.0476649021611384,-0.590553903731337,-0.19961721697834,0.000111052968916247
"AreaShape_Zernike_5_1",26,5123,0.0134764200262976,0.0088339720193063,0.0117133955022104,0.0126538220868822,0.00903164616163966,0.00024954667210654,0.0628303878168066,0.0625808411447001,0.776763275243527,0.153420309310002,0.000123422358566675
"AreaShape_Zernike_5_3",27,5123,0.0119697314610874,0.00811528144167343,0.0101798191463858,0.0110205678912869,0.00726865174655825,0.000178648964086642,0.058360691573386,0.0581820426092994,1.19355055762733,1.77009759728025,0.000113381293689263
"AreaShape_Zernike_5_5",28,5123,0.00715502245416735,0.00515227618959204,0.00598218242642249,0.00644833104039726,0.0042627787171487,7.13404590504308e-05,0.0338927569789298,0.0338214165198794,1.41621162842917,2.43051487285121,7.19841627205322e-05
"AreaShape_Zernike_6_0",29,5123,0.0128274999039493,0.0090371124312647,0.0113792810203473,0.0121299315335155,0.00999433773260289,8.59484074891671e-06,0.0561918744081033,0.0561832795673544,0.593811304161909,-0.420529006280232,0.000126260500764694
"AreaShape_Zernike_6_2",30,5123,0.0125527564705428,0.00667641326581267,0.0120066376694181,0.0122664147488661,0.00742382493559355,0.000185419379056747,0.0393472809356602,0.0391618615566034,0.367067406407007,-0.536677997169884,9.32783882755774e-05
"AreaShape_Zernike_6_4",31,5123,0.0147976211205815,0.0070366449679203,0.0147529293961561,0.0147926868130229,0.00832869509225523,0.000213932230626112,0.0401288758042371,0.0399149435736109,0.0407164081352516,-0.80931221596272,9.83113050889252e-05
"AreaShape_Zernike_6_6",32,5123,0.012849173564542,0.00431528964436066,0.0134983656056618,0.0131035764323582,0.00444607097297111,0.000141860340148088,0.0255866455884893,0.0254447852483413,-0.470619133712291,-0.307925064214309,6.02903455706402e-05
"AreaShape_Zernike_7_1",33,5123,0.00864122399924955,0.00528373070966595,0.00773982602455063,0.00821459410303018,0.00540711695562708,0.000103178670994482,0.0277969026939326,0.0276937240229381,0.648110336102746,-0.252658831876337,7.38207575021676e-05
"AreaShape_Zernike_7_3",34,5123,0.00792017815774437,0.0046028818088326,0.00721753771570548,0.00753981193402892,0.00462672165245577,7.17483578099037e-05,0.0303873772739994,0.0303156289161895,0.759760383416958,0.37558233150583,6.43083912659228e-05
"AreaShape_Zernike_7_5",35,5123,0.00670998319329291,0.00430011774413488,0.0058708297878884,0.00626246848078817,0.00402494426348766,4.67207444845501e-05,0.0284051470056016,0.0283584262611171,0.982774302663707,0.88113337262979,6.00783739110388e-05
"AreaShape_Zernike_7_7",36,5123,0.00443979832150518,0.00322705238311472,0.00367318462211776,0.00398681032388174,0.00261144226721449,3.80742802131891e-05,0.0205947347549086,0.0205566604746954,1.44005894781382,2.4221121434687,4.50862211779458e-05
"AreaShape_Zernike_8_0",37,5123,0.00805625051067413,0.00567426585894993,0.00715814806800535,0.00761092373903101,0.00632819385083875,9.69007526102097e-06,0.0275902838278101,0.027580593752549,0.583116537448084,-0.487373753853348,7.9277053845701e-05
"AreaShape_Zernike_8_2",38,5123,0.00775866774472582,0.00400294489474379,0.00747915751447173,0.00760239919116693,0.00450286242514232,0.000131281930193434,0.0246353347075466,0.0245040527773531,0.338261279791034,-0.550459615247055,5.59264732831367e-05
"AreaShape_Zernike_8_4",39,5123,0.00729581344690236,0.00385857067752754,0.006918797689863,0.00708948920812485,0.00409372486561763,3.39208506434993e-05,0.0250649331326904,0.0250310122820469,0.511197073096504,-0.0750134545929315,5.39093731195744e-05
"AreaShape_Zernike_8_6",40,5123,0.00791409102792348,0.00410953165806915,0.00770056621311477,0.00778614531924943,0.00479247616281513,0.000134167893279866,0.0257373330490856,0.0256031651558057,0.281490041640842,-0.558650690661877,5.74156323718063e-05
"AreaShape_Zernike_8_8",41,5123,0.00776203956376593,0.0027349602334813,0.00811471507238458,0.00790117802713526,0.00283668225993003,3.41620737260133e-05,0.0210041991362293,0.0209700370625033,-0.370719967368188,-0.273259484095553,3.82110382356445e-05
"AreaShape_Zernike_9_1",42,5123,0.00588204204937984,0.00342334340391966,0.00537257214808168,0.00562855679455213,0.00357266649913148,3.30560401850098e-05,0.0214363618786754,0.0214033058384904,0.637921000222678,-0.0841070714151826,4.78286682561412e-05
