"","P_lt_0_001"
"AreaShape_MaximumRadius",0.000147333276595258
"AreaShape_MeanRadius",1.83275354940871e-05
"AreaShape_MedianRadius",0.000443235215770827
"AreaShape_MinFeretDiameter",3.77785196393516e-05
"AreaShape_Solidity",1.04705971393842e-08
"AreaShape_Zernike_0_0",3.91327839128578e-11
"AreaShape_Zernike_2_2",5.18184565308614e-05
"AreaShape_Zernike_4_4",0.000341599079764099
"Intensity_LowerQuartileIntensity_DNA",2.7117730833106e-07
"Intensity_MassDisplacement_Rhodamine",0.000265189639520033
"Intensity_MinIntensityEdge_DNA",0.000122326337229765
"Mean_FilteredChromatin_Intensity_IntegratedIntensity_Rhodamine",8.25143386821962e-05
"Mean_FilteredChromatin_Intensity_LowerQuartileIntensity_DNA",1.35266544398264e-05
"Mean_FilteredChromatin_Intensity_MassDisplacement_Rhodamine",1.50965116198609e-07
"Mean_FilteredChromatin_Intensity_MeanIntensity_DNA",7.09416073299114e-06
"Mean_FilteredChromatin_Intensity_StdIntensity_DNA",1.31594772672356e-05
"Mean_FilteredChromatin_Intensity_StdIntensity_Rhodamine",4.90967581740505e-09
