"","x"
"134","Mean_FilteredChromatin_AreaShape_Zernike_9_5"
"135","Mean_FilteredChromatin_AreaShape_Zernike_9_7"
"136","Mean_FilteredChromatin_AreaShape_Zernike_9_9"
"137","Mean_FilteredChromatin_Intensity_IntegratedIntensityEdge_DNA"
"138","Mean_FilteredChromatin_Intensity_IntegratedIntensityEdge_Rhodamine"
"139","Mean_FilteredChromatin_Intensity_IntegratedIntensity_DNA"
"140","Mean_FilteredChromatin_Intensity_IntegratedIntensity_Rhodamine"
"141","Mean_FilteredChromatin_Intensity_LowerQuartileIntensity_DNA"
"142","Mean_FilteredChromatin_Intensity_LowerQuartileIntensity_Rhodamine"
"143","Mean_FilteredChromatin_Intensity_MADIntensity_DNA"
"144","Mean_FilteredChromatin_Intensity_MADIntensity_Rhodamine"
"145","Mean_FilteredChromatin_Intensity_MassDisplacement_DNA"
"146","Mean_FilteredChromatin_Intensity_MassDisplacement_Rhodamine"
"147","Mean_FilteredChromatin_Intensity_MaxIntensityEdge_DNA"
"148","Mean_FilteredChromatin_Intensity_MaxIntensityEdge_Rhodamine"
"149","Mean_FilteredChromatin_Intensity_MaxIntensity_DNA"
"150","Mean_FilteredChromatin_Intensity_MaxIntensity_Rhodamine"
"151","Mean_FilteredChromatin_Intensity_MeanIntensityEdge_DNA"
"152","Mean_FilteredChromatin_Intensity_MeanIntensityEdge_Rhodamine"
"153","Mean_FilteredChromatin_Intensity_MeanIntensity_DNA"
"154","Mean_FilteredChromatin_Intensity_MeanIntensity_Rhodamine"
"155","Mean_FilteredChromatin_Intensity_MedianIntensity_DNA"
"156","Mean_FilteredChromatin_Intensity_MedianIntensity_Rhodamine"
"157","Mean_FilteredChromatin_Intensity_MinIntensityEdge_DNA"
"158","Mean_FilteredChromatin_Intensity_MinIntensityEdge_Rhodamine"
"159","Mean_FilteredChromatin_Intensity_MinIntensity_DNA"
"160","Mean_FilteredChromatin_Intensity_MinIntensity_Rhodamine"
"161","Mean_FilteredChromatin_Intensity_StdIntensityEdge_DNA"
"162","Mean_FilteredChromatin_Intensity_StdIntensityEdge_Rhodamine"
"163","Mean_FilteredChromatin_Intensity_StdIntensity_DNA"
"164","Mean_FilteredChromatin_Intensity_StdIntensity_Rhodamine"
"165","Mean_FilteredChromatin_Intensity_UpperQuartileIntensity_DNA"
"166","Mean_FilteredChromatin_Intensity_UpperQuartileIntensity_Rhodamine"
"167","Mean_FilteredChromatin_Location_MaxIntensity_X_DNA"
"168","Mean_FilteredChromatin_Location_MaxIntensity_X_Rhodamine"
"169","Mean_FilteredChromatin_Location_MaxIntensity_Y_DNA"
"170","Mean_FilteredChromatin_Location_MaxIntensity_Y_Rhodamine"
"171","Mean_FilteredChromatin_Number_Object_Number"
"172","Number_Object_Number"
"173","Parent_Spindles"
